timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
36111208,-0.928926,-3.196812,-2.267885,2.062869,0.669479,-2.732348,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36113203,-0.952196,-3.216457,-2.264261,2.084327,0.656033,-2.740359,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36115199,-0.952291,-3.235579,-2.283287,2.093935,0.665498,-2.759433,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36117196,-0.915956,-3.258419,-2.342463,2.087188,0.713253,-2.800441,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36119192,-0.870752,-3.264952,-2.394199,2.067852,0.761724,-2.829576,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36121189,-0.817919,-3.253317,-2.435398,2.035618,0.808740,-2.844357,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36123186,-0.801849,-3.269243,-2.467394,2.035546,0.832772,-2.868319,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36125182,-0.801516,-3.264999,-2.463484,2.033257,0.830984,-2.864242,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36127179,-0.820065,-3.264046,-2.443981,2.042055,0.811958,-2.854013,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36129176,-0.875807,-3.282833,-2.407026,2.079320,0.765610,-2.844930,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36131173,-0.941992,-3.315496,-2.373505,2.128744,0.715756,-2.844501,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36133169,-1.000118,-3.357124,-2.357006,2.178621,0.678444,-2.857065,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36135166,-1.036835,-3.386688,-2.349854,2.211761,0.656509,-2.868271,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36137162,-1.039219,-3.425932,-2.386713,2.232575,0.673747,-2.906322,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36139159,-1.018238,-3.469658,-2.451420,2.243948,0.716591,-2.960539,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36141156,-1.028299,-3.514099,-2.485800,2.271199,0.728750,-2.999949,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36143152,-1.006413,-3.517675,-2.511263,2.262044,0.752425,-3.014469,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36145149,-0.975704,-3.501272,-2.525568,2.238488,0.774932,-3.013420,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36147146,-1.017857,-3.509521,-2.491665,2.263689,0.736904,-3.000593,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36149143,-1.092196,-3.535461,-2.443266,2.313828,0.675535,-2.989364,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36151140,-1.148033,-3.555059,-2.407026,2.351546,0.629497,-2.981043,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36153136,-1.171541,-3.553963,-2.382421,2.362752,0.605440,-2.968192,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36155133,-1.180124,-3.567982,-2.387857,2.374053,0.603867,-2.977920,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36157130,-1.188326,-3.609991,-2.421665,2.399158,0.616670,-3.015828,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36159126,-1.158428,-3.646946,-2.488518,2.402687,0.665045,-3.067732,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36161123,-1.114130,-3.648233,-2.534103,2.381182,0.709987,-3.091168,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36163120,-1.090145,-3.654957,-2.564812,2.372551,0.737333,-3.109884,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36165117,-1.126862,-3.656149,-2.529287,2.391505,0.701213,-3.092718,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36167114,-1.149368,-3.656387,-2.507019,2.402878,0.678825,-3.081703,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36169110,-1.189566,-3.655386,-2.465820,2.422476,0.638127,-3.060603,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36171110,-1.228189,-3.656721,-2.428532,2.442455,0.600171,-3.042626,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
