timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
46053134,-11.694145,-13.268185,-1.574039,12.481165,-5.060053,-7.421112,-4.913759,-4.179764,-16.935205,-17.015076,-16.787720,-16.880465,6
46055131,-11.623001,-13.247538,-1.624537,12.435269,-4.999232,-7.436037,-4.942179,-4.236412,-16.979361,-17.059422,-16.831398,-16.923380,6
46057130,-11.556244,-13.228130,-1.671886,12.392187,-4.942179,-7.450008,-4.977894,-4.302120,-17.030525,-17.111540,-16.883183,-16.975498,6
46059127,-11.509037,-13.211536,-1.702499,12.360287,-4.903269,-7.457018,-4.993534,-4.340839,-17.066956,-17.146873,-16.918993,-17.010212,6
46061125,-11.491585,-13.206577,-1.714993,12.349081,-4.888296,-7.460785,-5.006742,-4.366922,-17.090988,-17.170477,-16.942978,-17.033243,6
46063123,-11.507702,-13.211346,-1.703644,12.359524,-4.902029,-7.457495,-5.005312,-4.363012,-17.090893,-17.170191,-16.942453,-17.033815,6
46065121,-11.550474,-13.226080,-1.675606,12.388277,-4.937434,-7.450843,-4.985666,-4.327631,-17.064381,-17.143917,-16.916466,-17.008114,6
46067119,-11.616802,-13.248730,-1.631927,12.432766,-4.992437,-7.440329,-4.953671,-4.265976,-17.011690,-17.091560,-16.864395,-16.956186,6
46069116,-11.682224,-13.271427,-1.589203,12.476826,-5.046511,-7.430315,-4.923201,-4.202938,-16.956854,-17.036343,-16.808844,-16.901398,6
46071114,-11.706305,-13.277245,-1.570940,12.491775,-5.067682,-7.424092,-4.906178,-4.169130,-16.926003,-17.005825,-16.778231,-16.871834,6
46073113,-11.680508,-13.269758,-1.589251,12.475133,-5.045629,-7.429504,-4.914951,-4.183960,-16.935301,-17.014790,-16.787481,-16.881037,6
46075110,-11.612320,-13.245869,-1.633549,12.429094,-4.989386,-7.439709,-4.942703,-4.239702,-16.979170,-17.058802,-16.830587,-16.923857,6
46077108,-11.547041,-13.227320,-1.680279,12.387180,-4.933381,-7.453799,-4.976130,-4.303551,-17.030573,-17.110634,-16.882038,-16.975832,6
46079106,-11.502838,-13.213348,-1.710510,12.358093,-4.896164,-7.461929,-4.995108,-4.343700,-17.066574,-17.146683,-16.918707,-17.011499,6
46081104,-11.487770,-13.212967,-1.725197,12.350368,-4.881287,-7.469082,-5.014992,-4.375076,-17.092228,-17.172098,-16.945171,-17.037201,6
46083102,-11.499977,-13.219929,-1.719952,12.359953,-4.890013,-7.469940,-5.014467,-4.375267,-17.092657,-17.172289,-16.945171,-17.038202,6
46085100,-11.540031,-13.233089,-1.693058,12.386560,-4.923487,-7.463074,-4.998446,-4.339170,-17.066669,-17.146635,-16.919231,-17.012310,6
46087098,-11.605787,-13.252831,-1.647043,12.429309,-4.979372,-7.449937,-4.965830,-4.275608,-17.014217,-17.094183,-16.867256,-16.960716,6
46089096,-11.675882,-13.276672,-1.600790,12.476277,-5.037546,-7.438731,-4.931784,-4.211044,-16.958523,-17.038155,-16.811085,-16.905642,6
46091094,-11.705589,-13.289595,-1.584005,12.497592,-5.060792,-7.436800,-4.917240,-4.181576,-16.928673,-17.007685,-16.780567,-16.875601,6
46093092,-11.679411,-13.283443,-1.604033,12.481427,-5.037689,-7.443738,-4.926729,-4.198980,-16.938066,-17.017460,-16.789913,-16.885185,6
46095091,-11.616850,-13.262463,-1.645613,12.439656,-4.985619,-7.454038,-4.953241,-4.253006,-16.981983,-17.062473,-16.834164,-16.928864,6
46097088,-11.553097,-13.240767,-1.687670,12.396932,-4.932714,-7.464218,-4.976797,-4.307413,-17.030334,-17.109919,-16.881847,-16.976500,6
46099088,-11.504745,-13.217974,-1.713228,12.361360,-4.895759,-7.465601,-4.985046,-4.338360,-17.063236,-17.142963,-16.914940,-17.006874,6
